school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
BAYCHESTER MIDDLE SCHOOL,11X532,15,0,0%,95%,321100010532.0,11.0,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466.0,"06,07,08",06,08,No,0.7020000000000001,,5%,1%,68%,27%,95%,1%,93%,26%,85%,Meeting Target,83%,Meeting Target,89%,Meeting Target,80%,Approaching Target,80%,Meeting Target,84%,Meeting Target,Meeting Target,2.25,2.52
P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,14K157,15,0,0%,97%,331400010157.0,14.0,40.695397,-73.96000500000001,"850 KENT AVE BROOKLYN, NY 11205",BROOKLYN,11205.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8590000000000001,"$42,709.08 ",19%,0%,17%,81%,98%,2%,93%,23%,94%,Meeting Target,91%,Meeting Target,93%,Exceeding Target,87%,Meeting Target,86%,Meeting Target,94%,Exceeding Target,Meeting Target,2.2,2.2
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,17K382,15,0,0%,90%,331700011382.0,17.0,40.649588,-73.957176,"911 FLATBUSH AVE BROOKLYN, NY 11226",BROOKLYN,11226.0,"06,07,08,09,10,11,12",06,12,No,0.684,,9%,1%,81%,15%,96%,1%,95%,17%,79%,Approaching Target,76%,Approaching Target,75%,Approaching Target,68%,Approaching Target,70%,Approaching Target,77%,Not Meeting Target,Meeting Target,2.27,2.27
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,17K590,15,0,0%,93%,331700011590.0,17.0,40.667,-73.951014,"1186 CARROLL ST BROOKLYN, NY 11225",BROOKLYN,11225.0,"06,07,08,09,10,11,12",06,12,No,0.46399999999999997,,1%,3%,88%,5%,93%,1%,97%,4%,87%,Exceeding Target,89%,Meeting Target,79%,Meeting Target,80%,Meeting Target,81%,,85%,,Meeting Target,3.4,3.41
VAN SICLEN COMMUNITY MIDDLE SCHOOL,19K654,15,0,0%,93%,331900010654.0,19.0,40.659637,-73.885597,"800 VAN SICLEN AVE BROOKLYN, NY 11207",BROOKLYN,11207.0,"06,07,08",06,08,No,0.78,,14%,2%,68%,28%,96%,2%,90%,33%,86%,Meeting Target,96%,Meeting Target,83%,Meeting Target,93%,Exceeding Target,80%,Meeting Target,95%,Exceeding Target,Approaching Target,1.96,1.95
KINGSBOROUGH EARLY COLLEGE SCHOOL,21K468,15,0,0%,53%,332100011468.0,21.0,40.593624,-73.986144,"2630 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214.0,"06,07,08,09,10,11,12",06,12,No,0.564,,1%,8%,24%,27%,51%,40%,93%,21%,94%,Exceeding Target,98%,Exceeding Target,77%,Meeting Target,95%,Exceeding Target,72%,Approaching Target,91%,Meeting Target,Meeting Target,2.61,2.65
CHANNEL VIEW SCHOOL FOR RESEARCH,27Q262,15,0,0%,77%,342700011262.0,27.0,40.586665999999994,-73.823435,"100-00 BEACH CHANNEL DR ROCKAWAY PARK, NY 11694",ROCKAWAY PARK,11694.0,"06,07,08,09,10,11,12",06,12,No,0.551,,2%,7%,49%,28%,78%,13%,95%,14%,94%,Exceeding Target,96%,Exceeding Target,88%,Meeting Target,90%,Exceeding Target,77%,Meeting Target,94%,Exceeding Target,Approaching Target,2.63,2.47
UNITY PREP CHARTER SCHOOL,84K757,15,0,0%,95%,331300861056.0,13.0,40.686208,-73.940924,"432 MONROE ST BROOKLYN, NY 11221",BROOKLYN,11221.0,"06,07,08,09,10",06,10,No,0.7390000000000001,,4%,2%,78%,17%,95%,1%,94%,21%,81%,Approaching Target,87%,Meeting Target,89%,Meeting Target,87%,Meeting Target,83%,Meeting Target,92%,Meeting Target,Meeting Target,2.26,2.32
KIPP INFINITY CHARTER SCHOOL,84M336,15,0,0%,98%,310500860883.0,5.0,40.819764,-73.95724,"625 W 133 ST-RM 308D NEW YORK, NY 10027",NEW YORK,10027.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.7979999999999999,"$33,303.04 ",12%,0%,30%,68%,98%,1%,96%,12%,93%,Exceeding Target,95%,Exceeding Target,88%,Exceeding Target,94%,Exceeding Target,90%,Exceeding Target,95%,Exceeding Target,Exceeding Target,2.6,3.13
METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,84X461,15,0,0%,97%,320900860962.0,9.0,40.834312,-73.930213,"180 W 165TH ST BRONX, NY 10452",BRONX,10452.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.7979999999999999,"$26,912.82 ",13%,0%,40%,57%,97%,1%,96%,5%,77%,Approaching Target,77%,Approaching Target,87%,Meeting Target,70%,Approaching Target,85%,Meeting Target,91%,Meeting Target,Approaching Target,2.3,2.46
EAST SIDE COMMUNITY SCHOOL,01M450,16,0,0%,70%,310100011450.0,1.0,40.729153000000004,-73.982474,"420 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009.0,"06,07,08,09,10,11,12",06,12,No,0.61,,1%,11%,21%,53%,74%,12%,97%,5%,92%,Exceeding Target,95%,Exceeding Target,92%,Exceeding Target,96%,Exceeding Target,88%,Exceeding Target,95%,Exceeding Target,Exceeding Target,2.82,2.9
P.S. 161 PEDRO ALBIZU CAMPOS,05M161,16,0,0%,95%,310500010161.0,5.0,40.817721,-73.95245899999999,"499 W 133RD ST NEW YORK, NY 10027",NEW YORK,10027.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.875,"$29,854.02 ",27%,3%,18%,77%,95%,1%,91%,35%,89%,Meeting Target,89%,Meeting Target,85%,Meeting Target,79%,Meeting Target,86%,Meeting Target,90%,Meeting Target,Meeting Target,2.28,2.38
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,06M346,16,0,0%,97%,310600011346.0,6.0,40.833487,-73.94244599999999,"504 W 158TH ST NEW YORK, NY 10033",NEW YORK,10033.0,"06,07,08,09,10,11,12",06,12,No,0.85,,19%,1%,7%,91%,98%,1%,93%,20%,87%,Meeting Target,95%,Exceeding Target,89%,Meeting Target,91%,Exceeding Target,80%,Meeting Target,95%,Exceeding Target,Meeting Target,2.31,2.23
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,09X303,16,0,0%,97%,320900010303.0,9.0,40.849461,-73.915529,"1700 MACOMBS RD BRONX, NY 10453",BRONX,10453.0,"06,07,08",06,08,No,0.9009999999999999,,16%,0%,23%,75%,98%,1%,92%,27%,82%,Meeting Target,93%,Exceeding Target,86%,Meeting Target,92%,Exceeding Target,80%,Meeting Target,93%,Meeting Target,Meeting Target,2.27,2.29
URBAN SCIENCE ACADEMY,09X325,16,0,0%,98%,320900010325.0,9.0,40.827748,-73.91377299999999,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456.0,"05,06,07,08",05,08,Yes,0.8909999999999999,,36%,1%,30%,67%,97%,1%,90%,36%,77%,Approaching Target,75%,Approaching Target,84%,Approaching Target,72%,Approaching Target,84%,Meeting Target,87%,Meeting Target,Approaching Target,2.0,1.97
I.S. 068 ISAAC BILDERSEE,18K068,16,0,0%,90%,331800010068.0,18.0,40.635220000000004,-73.910912,"956 E 82ND ST BROOKLYN, NY 11236",BROOKLYN,11236.0,"06,07,08",06,08,No,0.59,,15%,1%,90%,5%,95%,3%,92%,25%,81%,Approaching Target,88%,Meeting Target,77%,Approaching Target,75%,Approaching Target,77%,Approaching Target,88%,Meeting Target,Meeting Target,2.22,2.14
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,19K678,16,0,0%,95%,331900010678.0,19.0,40.669568,-73.879189,"605 SHEPHERD AVE BROOKLYN, NY 11208",BROOKLYN,11208.0,"06,07,08",06,08,No,0.845,,5%,4%,59%,37%,96%,0%,92%,32%,86%,Meeting Target,96%,Meeting Target,93%,Meeting Target,91%,Exceeding Target,83%,Meeting Target,96%,Exceeding Target,Approaching Target,2.19,2.07
CORONA ARTS AND SCIENCES ACADEMY,24Q311,16,0,0%,97%,342400010311.0,24.0,40.743204,-73.871482,"45-10 94TH ST ELMHURST, NY 11373",ELMHURST,11373.0,"06,07,08",06,08,No,0.7859999999999999,,18%,4%,1%,94%,95%,1%,98%,1%,98%,Meeting Target,98%,Meeting Target,89%,Exceeding Target,96%,Exceeding Target,80%,Meeting Target,96%,Exceeding Target,Meeting Target,2.47,2.54
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,25Q285,16,0,0%,39%,342500011285.0,25.0,40.765017,-73.789689,"34-65 192ND ST FLUSHING, NY 11358",FLUSHING,11358.0,"06,07,08,09,10,11,12",06,12,No,0.293,,1%,18%,5%,26%,31%,50%,95%,11%,92%,Exceeding Target,92%,Exceeding Target,83%,Meeting Target,85%,Meeting Target,76%,Approaching Target,91%,Meeting Target,Meeting Target,2.84,2.87
M.S. 053 BRIAN PICCOLO,27Q053,16,0,0%,95%,342700010053.0,27.0,40.603951,-73.749868,"10-45 NAMEOKE ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691.0,"06,07,08",06,08,Yes,0.738,,15%,1%,61%,37%,97%,1%,90%,37%,88%,Meeting Target,86%,Meeting Target,88%,Meeting Target,76%,Approaching Target,76%,Approaching Target,89%,Meeting Target,Meeting Target,2.14,2.03
COMMUNITY ROOTS CHARTER SCHOOL,84K536,16,0,0%,45%,331300860893.0,13.0,40.695143,-73.977889,"51 ST EDWARDS ST-3RD FL BROOKLYN, NY 11205",BROOKLYN,11205.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.36200000000000004,"$61,778.93 ",2%,4%,33%,16%,48%,39%,100%,0%,91%,Meeting Target,93%,Exceeding Target,86%,Meeting Target,89%,Exceeding Target,97%,Exceeding Target,93%,Exceeding Target,Meeting Target,2.86,2.86
GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,84M330,16,0,0%,93%,310100860866.0,1.0,40.71987,-73.977376,"442 E HOUSTON ST-RM 312 NEW YORK, NY 10002",NEW YORK,10002.0,"0K,01,02,03,04,05",0K,05,No,0.733,"$35,223.30 ",2%,2%,45%,49%,94%,2%,94%,18%,90%,Meeting Target,93%,Exceeding Target,85%,Meeting Target,88%,Exceeding Target,87%,Meeting Target,90%,Meeting Target,Meeting Target,2.72,2.83
DREAM CHARTER SCHOOL,84M382,16,0,0%,96%,310400860919.0,4.0,40.788340999999996,-73.94409499999999,"1991 2ND AVE NEW YORK, NY 10029",NEW YORK,10029.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.8059999999999999,"$32,207.34 ",6%,1%,32%,65%,97%,1%,94%,16%,87%,Approaching Target,93%,Exceeding Target,82%,Meeting Target,85%,Meeting Target,90%,Exceeding Target,89%,Meeting Target,Exceeding Target,2.51,2.85
JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL,84R067,16,0,0%,85%,353100860959.0,31.0,40.605428,-74.179723,"1 CORPORATE COMMONS-1 TELEPORT DR STATEN ISLAND, NY 10311",STATEN ISLAND,10311.0,"06,07,08,09,10,11,12",06,12,No,0.544,,2%,5%,40%,38%,78%,15%,94%,15%,88%,Meeting Target,94%,Exceeding Target,81%,Meeting Target,92%,Exceeding Target,78%,Meeting Target,93%,Meeting Target,Meeting Target,2.38,2.53
MOTT HALL CHARTER SCHOOL,84X177,16,0,0%,96%,320900861004.0,9.0,40.830895,-73.90238599999999,"1260 FRANKLIN AVE BRONX, NY 10456",BRONX,10456.0,"06,07,08",06,08,No,0.8140000000000001,,10%,0%,40%,58%,98%,0%,94%,20%,82%,Approaching Target,81%,Approaching Target,82%,Meeting Target,76%,Approaching Target,74%,Approaching Target,85%,Approaching Target,Approaching Target,2.23,2.39
CITY KNOLL MIDDLE SCHOOL,02M933,17,0,0%,76%,310200010933.0,2.0,40.753389,-73.997896,"425 W 33RD ST NEW YORK, NY 10001",NEW YORK,10001.0,"06,07,08",06,08,No,0.613,,7%,10%,20%,47%,67%,20%,95%,19%,90%,,95%,,80%,,93%,,78%,,93%,,,2.7,2.58
P.S. 206 JOSE CELSO BARBOSA,04M206,17,0,0%,92%,310400010206.0,4.0,40.796906,-73.929978,"508 E 120TH ST NEW YORK, NY 10035",NEW YORK,10035.0,"03,04,05",03,05,No,0.8170000000000001,"$27,376.45 ",14%,4%,26%,61%,87%,6%,93%,25%,83%,Approaching Target,85%,Meeting Target,85%,Meeting Target,80%,Meeting Target,82%,Approaching Target,91%,Meeting Target,Meeting Target,2.36,2.54
J.H.S. 143 ELEANOR ROOSEVELT,06M143,17,0,0%,94%,310600010143.0,6.0,40.849099,-73.931106,"511 W 182ND ST NEW YORK, NY 10033",NEW YORK,10033.0,"06,07,08",06,08,No,0.8490000000000001,,52%,0%,1%,96%,97%,3%,91%,24%,82%,Approaching Target,83%,Meeting Target,81%,Meeting Target,78%,Approaching Target,76%,Approaching Target,86%,Approaching Target,Meeting Target,2.12,2.06
THE BRONX MATHEMATICS PREPARATORY SCHOOL,08X375,17,0,0%,94%,320800010375.0,8.0,40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473",BRONX,10473.0,"06,07,08",06,08,Yes,0.818,,17%,2%,33%,63%,97%,0%,89%,40%,79%,Not Meeting Target,75%,Not Meeting Target,79%,Approaching Target,65%,Not Meeting Target,76%,Approaching Target,81%,Approaching Target,Approaching Target,2.17,2.01
THE ANGELO PATRI MIDDLE SCHOOL,10X391,17,0,0%,96%,321000010391.0,10.0,40.854655,-73.897036,"2225 WEBSTER AVE BRONX, NY 10457",BRONX,10457.0,"06,07,08",06,08,Yes,0.9109999999999999,,36%,1%,25%,72%,97%,1%,90%,35%,86%,Approaching Target,84%,Approaching Target,82%,Approaching Target,78%,Approaching Target,80%,Meeting Target,88%,Meeting Target,Meeting Target,2.09,1.98
MOTT HALL V,12X242,17,0,0%,94%,321200010242.0,12.0,40.831694,-73.877464,"1551 E 172ND ST BRONX, NY 10472",BRONX,10472.0,"06,07,08,SE",06,08,No,0.795,,10%,4%,18%,76%,94%,1%,94%,22%,82%,Meeting Target,87%,Exceeding Target,89%,Exceeding Target,80%,Meeting Target,74%,Approaching Target,92%,Exceeding Target,Meeting Target,2.36,2.31
FORT GREENE PREPARATORY ACADEMY,13K691,17,0,0%,91%,331300010691.0,13.0,40.694425,-73.971627,"100 CLERMONT AVE BROOKLYN, NY 11205",BROOKLYN,11205.0,"06,07,08",06,08,No,0.701,,7%,2%,65%,28%,93%,4%,93%,22%,74%,Approaching Target,78%,Approaching Target,76%,Approaching Target,70%,Approaching Target,82%,Meeting Target,84%,Approaching Target,Approaching Target,2.27,2.11
MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,18K598,17,0,0%,90%,331800010598.0,18.0,40.658685,-73.928682,"905 WINTHROP ST BROOKLYN, NY 11203",BROOKLYN,11203.0,"06,07,08",06,08,No,0.608,,5%,2%,89%,7%,96%,2%,92%,23%,85%,Meeting Target,88%,Meeting Target,83%,Meeting Target,83%,Meeting Target,80%,Meeting Target,87%,Approaching Target,Meeting Target,2.36,2.09
P.S. 089 CYPRESS HILLS,19K089,17,0,0%,98%,331900010089.0,19.0,40.677777,-73.886699,"265 WARWICK ST BROOKLYN, NY 11207",BROOKLYN,11207.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.8240000000000001,"$38,667.98 ",41%,1%,3%,95%,98%,0%,95%,10%,83%,Approaching Target,85%,Exceeding Target,91%,Exceeding Target,72%,Approaching Target,85%,Meeting Target,90%,Meeting Target,Meeting Target,2.2,2.27
P.S. 099 ISAAC ASIMOV,21K099,17,0,0%,25%,332100010099.0,21.0,40.621491999999996,-73.96600600000001,"1120 E 10TH ST BROOKLYN, NY 11230",BROOKLYN,11230.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.695,"$37,038.11 ",31%,41%,8%,18%,26%,32%,92%,28%,99%,Exceeding Target,100%,Exceeding Target,96%,Meeting Target,96%,Exceeding Target,80%,Approaching Target,97%,Exceeding Target,Meeting Target,2.62,2.86
COLLABORATIVE ARTS MIDDLE SCHOOL,29Q355,17,0,0%,96%,342900010355.0,29.0,40.664858,-73.759088,"145-00 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"06,07,08",06,08,No,0.557,,2%,1%,91%,6%,97%,1%,92%,26%,84%,Meeting Target,91%,Meeting Target,78%,Approaching Target,90%,Meeting Target,80%,Meeting Target,89%,Meeting Target,Approaching Target,2.21,2.13
COMMUNITY PARTNERSHIP CHARTER SCHOOL,84K702,17,0,0%,95%,331300860810.0,13.0,40.689626000000004,-73.96109399999999,"241 EMERSON PL BROOKLYN, NY 11205",BROOKLYN,11205.0,"0K,01,02,03,04,05",0K,05,No,0.635,"$42,161.63 ",2%,0%,80%,15%,95%,1%,95%,16%,83%,Approaching Target,84%,Meeting Target,79%,Approaching Target,80%,Meeting Target,90%,Exceeding Target,87%,Meeting Target,Approaching Target,2.43,2.65
ICAHN CHARTER SCHOOL 3,84X422,17,0,0%,93%,321100860917.0,11.0,40.856635,-73.84304200000001,"1500 PELHAM PKWY S BRONX, NY 10461",BRONX,10461.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.648,"$36,726.40 ",3%,3%,62%,31%,93%,3%,95%,12%,93%,Meeting Target,93%,Exceeding Target,79%,Approaching Target,86%,Meeting Target,80%,Approaching Target,87%,Approaching Target,Approaching Target,2.55,2.83
HAMILTON GRANGE MIDDLE SCHOOL,06M209,18,0,0%,96%,310600010209.0,6.0,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031.0,"06,07,08",06,08,No,0.7859999999999999,,34%,1%,11%,85%,96%,3%,96%,10%,73%,,78%,,79%,,70%,,79%,,85%,,,2.09,2.31
THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,07X223,18,0,0%,98%,320700010223.0,7.0,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",BRONX,10454.0,"06,07,08,09,10,11,12",06,12,No,0.866,,9%,0%,20%,79%,99%,1%,95%,12%,84%,Meeting Target,76%,Meeting Target,85%,Exceeding Target,71%,Approaching Target,75%,Approaching Target,82%,Approaching Target,Meeting Target,2.62,2.68
THE HIGHBRIDGE GREEN SCHOOL,09X361,18,0,0%,97%,320900010361.0,9.0,40.838201,-73.928084,"200 W 167TH ST BRONX, NY 10452",BRONX,10452.0,"06,07,08",06,08,No,0.8859999999999999,,20%,1%,25%,73%,98%,1%,94%,20%,94%,Exceeding Target,93%,Meeting Target,94%,Exceeding Target,94%,Exceeding Target,85%,Meeting Target,95%,Exceeding Target,Meeting Target,2.27,2.17
WEST BRONX ACADEMY FOR THE FUTURE,10X243,18,0,0%,96%,321000011243.0,10.0,40.859516,-73.88858,"500 E FORDHAM RD BRONX, NY 10458",BRONX,10458.0,"06,07,08,09,10,11,12",06,12,No,0.851,,11%,2%,20%,75%,95%,2%,92%,25%,84%,Approaching Target,85%,Meeting Target,81%,Meeting Target,82%,Meeting Target,74%,Approaching Target,89%,Meeting Target,Meeting Target,2.35,2.32
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",12X318,18,0,0%,97%,321200010318.0,12.0,40.84385,-73.890063,"1919 PROSPECT AVE BRONX, NY 10457",BRONX,10457.0,"06,07,08",06,08,No,0.878,,19%,1%,27%,70%,97%,2%,88%,38%,85%,Meeting Target,79%,Meeting Target,83%,Approaching Target,73%,Approaching Target,79%,Meeting Target,90%,Meeting Target,Meeting Target,2.15,2.16
P.S. 084 JOSE DE DIEGO,14K084,18,0,0%,66%,331400010084.0,14.0,40.714822,-73.963516,"250 BERRY ST BROOKLYN, NY 11211",BROOKLYN,11211.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.5770000000000001,"$57,582.52 ",17%,3%,3%,62%,65%,27%,93%,23%,93%,Meeting Target,93%,Exceeding Target,92%,Meeting Target,84%,Meeting Target,89%,Meeting Target,94%,Exceeding Target,Approaching Target,2.43,2.45
I.S. 136 CHARLES O. DEWEY,15K136,18,0,0%,84%,331500010136.0,15.0,40.652095,-74.007424,"4004 4TH AVE BROOKLYN, NY 11232",BROOKLYN,11232.0,"06,07,08",06,08,No,0.809,,36%,6%,3%,84%,87%,7%,94%,19%,91%,Approaching Target,94%,Meeting Target,89%,Meeting Target,87%,Meeting Target,83%,Meeting Target,94%,Exceeding Target,Meeting Target,2.19,2.13
THE SCHOOL OF INTEGRATED LEARNING,17K354,18,0,0%,96%,331700010354.0,17.0,40.672272,-73.937164,"1224 PARK PL BROOKLYN, NY 11213",BROOKLYN,11213.0,"06,07,08",06,08,No,0.792,,11%,3%,78%,13%,91%,3%,92%,27%,99%,Exceeding Target,97%,Exceeding Target,96%,Exceeding Target,95%,Exceeding Target,88%,Exceeding Target,98%,Exceeding Target,Exceeding Target,2.69,2.64
EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,18K581,18,0,0%,95%,331800010581.0,18.0,40.658685,-73.928682,"905 WINTHROP ST BROOKLYN, NY 11203",BROOKLYN,11203.0,"06,07,08",06,08,Yes,0.7,,11%,2%,89%,2%,91%,2%,92%,23%,83%,Meeting Target,76%,Approaching Target,80%,Meeting Target,75%,Approaching Target,80%,Meeting Target,81%,Approaching Target,Meeting Target,2.17,2.15
I.S. 192 THE LINDEN,29Q192,18,0,0%,88%,342900010192.0,29.0,40.706768,-73.753793,"109-89 204TH ST SAINT ALBANS, NY 11412",SAINT ALBANS,11412.0,"06,07,08",06,08,No,0.48700000000000004,,5%,3%,86%,8%,95%,1%,94%,14%,92%,Approaching Target,95%,Meeting Target,92%,Exceeding Target,90%,Exceeding Target,98%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.32,2.13
THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,31R028,18,0,0%,83%,353100010028.0,31.0,40.620483,-74.080771,"101 WARREN ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304.0,"06,07,08,09,10,11,12",06,12,No,0.705,,3%,9%,52%,31%,83%,7%,93%,23%,93%,,87%,,91%,,90%,,87%,,91%,,,2.38,2.43
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,84M341,18,0,0%,97%,310500860886.0,5.0,40.806204,-73.94102,"35 E 125TH ST NEW YORK, NY 10035",NEW YORK,10035.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.757,"$35,109.03 ",3%,0%,84%,13%,97%,0%,95%,14%,86%,Meeting Target,85%,Meeting Target,80%,Meeting Target,80%,Meeting Target,83%,Approaching Target,88%,Meeting Target,Exceeding Target,2.57,3.13
KIPP STAR COLLEGE PREP CHARTER SCHOOL,84M726,18,0,0%,96%,310500860858.0,5.0,40.810854,-73.956339,"433 W 123RD ST-4TH FL NEW YORK, NY 10027",NEW YORK,10027.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.746,,4%,1%,56%,41%,97%,1%,95%,14%,87%,Meeting Target,90%,Meeting Target,80%,Meeting Target,90%,Meeting Target,88%,Meeting Target,92%,Meeting Target,Exceeding Target,2.54,2.78
SCHOOL FOR GLOBAL LEADERS,01M378,19,0,0%,84%,310100010378.0,1.0,40.720185,-73.985957,"145 STANTON ST NEW YORK, NY 10002",NEW YORK,10002.0,"06,07,08",06,08,No,0.764,,8%,15%,22%,58%,81%,2%,92%,27%,79%,Meeting Target,87%,Meeting Target,82%,Meeting Target,77%,Approaching Target,76%,Approaching Target,88%,Meeting Target,Exceeding Target,2.34,2.48
SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,08X448,19,0,0%,96%,320800010448.0,8.0,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473",BRONX,10473.0,"06,07,08",06,08,No,0.802,,11%,2%,31%,65%,96%,1%,91%,31%,86%,Meeting Target,88%,Exceeding Target,87%,Meeting Target,81%,Approaching Target,84%,Meeting Target,90%,Meeting Target,Exceeding Target,2.31,2.33
BRONX DANCE ACADEMY SCHOOL,10X308,19,0,0%,98%,321000010308.0,10.0,40.885328,-73.878058,"3617 BAINBRIDGE AVE BRONX, NY 10467",BRONX,10467.0,"06,07,08",06,08,No,0.8240000000000001,,6%,2%,21%,77%,97%,1%,94%,18%,89%,Meeting Target,86%,Meeting Target,86%,Meeting Target,74%,Approaching Target,73%,Approaching Target,86%,Meeting Target,Meeting Target,2.52,2.54
E.S.M.T- I.S. 190,12X190,19,0,0%,95%,321200010190.0,12.0,40.836359,-73.89275,"1550 CROTONA PARK E BRONX, NY 10460",BRONX,10460.0,"06,07,08",06,08,No,0.852,,10%,1%,25%,71%,96%,1%,93%,24%,87%,Meeting Target,84%,Meeting Target,80%,Approaching Target,74%,Approaching Target,77%,Approaching Target,82%,Approaching Target,Meeting Target,2.25,2.22
"M.S. 267 MATH, SCIENCE & TECHNOLOGY",16K267,19,0,0%,92%,331600010267.0,16.0,40.687938,-73.932378,"800 GATES AVE BROOKLYN, NY 11221",BROOKLYN,11221.0,"06,07,08",06,08,No,0.826,,10%,2%,63%,25%,87%,3%,86%,46%,97%,Meeting Target,93%,Meeting Target,86%,Approaching Target,92%,Exceeding Target,80%,Meeting Target,91%,Meeting Target,Exceeding Target,2.43,2.42
BROOKLYN STUDIO SECONDARY SCHOOL,21K690,19,0,0%,33%,332100011690.0,21.0,40.604847,-73.99474599999999,"8310 21ST AVE BROOKLYN, NY 11214",BROOKLYN,11214.0,"06,07,08,09,10,11,12",06,12,No,0.608,,13%,18%,3%,29%,33%,49%,95%,16%,85%,Approaching Target,75%,Approaching Target,82%,Meeting Target,69%,Approaching Target,67%,Not Meeting Target,78%,Approaching Target,Exceeding Target,2.77,2.67
KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,84M068,19,0,0%,99%,310600861013.0,6.0,40.839408,-73.935772,"21 JUMEL PL-RM D109 NEW YORK, NY 10032",NEW YORK,10032.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.78,,13%,0%,12%,86%,99%,1%,96%,8%,91%,Meeting Target,96%,Exceeding Target,90%,Exceeding Target,92%,Exceeding Target,89%,Exceeding Target,96%,Exceeding Target,Exceeding Target,2.56,2.86
GRAND CONCOURSE CHARTER SCHOOL,84X165,19,0,0%,93%,320800860872.0,8.0,40.825693,-73.83840500000001,"925 HUTCHINSON PARKWAY BRONX, NY 10465",BRONX,10465.0,"0K,01,02,03,04,05",0K,05,No,0.847,"$25,916.69 ",18%,3%,40%,54%,94%,2%,95%,15%,98%,Exceeding Target,91%,Meeting Target,98%,Exceeding Target,85%,Meeting Target,88%,Meeting Target,94%,Exceeding Target,Exceeding Target,2.83,3.07
HYDE LEADERSHIP CHARTER SCHOOL,84X345,19,0,0%,99%,320800860903.0,8.0,40.815594,-73.885238,"730 BRYANT AVE BRONX, NY 10474",BRONX,10474.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.779,"$27,967.11 ",8%,0%,34%,65%,98%,1%,95%,9%,82%,Approaching Target,84%,Meeting Target,84%,Meeting Target,81%,Meeting Target,88%,Meeting Target,90%,Meeting Target,Meeting Target,2.41,2.53
